Gridworld,Expanded Nodes (Smaller g),Runtime (Smaller g),Expanded Nodes (Larger g),Runtime (Larger g)
gridworld_0.txt,6954,0.02810072898864746,6954,0.019446134567260742
gridworld_1.txt,1,7.867813110351562e-06,1,2.86102294921875e-06
gridworld_10.txt,6952,0.019105195999145508,6952,0.019019126892089844
gridworld_11.txt,7023,0.019504308700561523,7023,0.01896071434020996
gridworld_12.txt,13,3.409385681152344e-05,13,2.8848648071289062e-05
gridworld_13.txt,1539,0.004077911376953125,447,0.001219034194946289
gridworld_14.txt,1242,0.003314971923828125,258,0.0007491111755371094
gridworld_15.txt,2,1.0013580322265625e-05,2,4.291534423828125e-06
gridworld_16.txt,1,2.86102294921875e-06,1,1.9073486328125e-06
gridworld_17.txt,12,2.9087066650390625e-05,12,2.5033950805664062e-05
gridworld_18.txt,7033,0.018814802169799805,7033,0.01975703239440918
gridworld_19.txt,6910,0.018654346466064453,6910,0.018834829330444336
gridworld_2.txt,6987,0.018980026245117188,6987,0.01899409294128418
gridworld_20.txt,88,0.0002238750457763672,88,0.00020813941955566406
gridworld_21.txt,1817,0.0046977996826171875,343,0.0010609626770019531
gridworld_22.txt,2302,0.0069468021392822266,329,0.0009891986846923828
gridworld_23.txt,7028,0.019264936447143555,7028,0.019259214401245117
gridworld_24.txt,1596,0.004246950149536133,410,0.0012538433074951172
gridworld_25.txt,29,7.510185241699219e-05,29,6.4849853515625e-05
gridworld_26.txt,6889,0.01912093162536621,6889,0.01888275146484375
gridworld_27.txt,4033,0.011459112167358398,439,0.0013020038604736328
gridworld_28.txt,1839,0.004828214645385742,343,0.0009770393371582031
gridworld_29.txt,2203,0.006055116653442383,321,0.0009410381317138672
gridworld_3.txt,7060,0.01891303062438965,7060,0.019304990768432617
gridworld_30.txt,6936,0.018483877182006836,6936,0.019253015518188477
gridworld_31.txt,1897,0.005068063735961914,351,0.0010459423065185547
gridworld_32.txt,6972,0.019318103790283203,6972,0.019092082977294922
gridworld_33.txt,6956,0.01895594596862793,6956,0.019070863723754883
gridworld_34.txt,2381,0.0066907405853271484,443,0.0013549327850341797
gridworld_35.txt,1,1.2159347534179688e-05,1,3.0994415283203125e-06
gridworld_36.txt,7018,0.018915891647338867,7018,0.019632816314697266
gridworld_37.txt,7045,0.01870584487915039,7045,0.01972484588623047
gridworld_38.txt,1987,0.005276203155517578,294,0.000843048095703125
gridworld_39.txt,12,3.600120544433594e-05,12,2.7179718017578125e-05
gridworld_4.txt,1136,0.003052949905395508,387,0.0010960102081298828
gridworld_40.txt,2233,0.00629115104675293,386,0.0011320114135742188
gridworld_41.txt,3144,0.008620977401733398,332,0.0009548664093017578
gridworld_42.txt,2196,0.006141185760498047,334,0.000982046127319336
gridworld_43.txt,6969,0.01910090446472168,6969,0.018932819366455078
gridworld_44.txt,6968,0.01902484893798828,6968,0.019181013107299805
gridworld_45.txt,6941,0.018924713134765625,6941,0.018999099731445312
gridworld_46.txt,1942,0.005001068115234375,319,0.0009620189666748047
gridworld_47.txt,1764,0.004935026168823242,480,0.0013523101806640625
gridworld_48.txt,3223,0.00881195068359375,341,0.0009968280792236328
gridworld_49.txt,1631,0.004518270492553711,361,0.0011169910430908203
gridworld_5.txt,2667,0.007530927658081055,353,0.0010030269622802734
gridworld_6.txt,7053,0.01910400390625,7053,0.020082950592041016
gridworld_7.txt,2,7.152557373046875e-06,2,3.814697265625e-06
gridworld_8.txt,3560,0.009800195693969727,257,0.0007450580596923828
gridworld_9.txt,1310,0.0034580230712890625,404,0.0012669563293457031
